id,name,category,description,attributes,information_score,created_at,updated_at,barcode,price
1,Chair Smartwatch,electronics,Feel law machine exist. Thus southern speak. Million expect process evening throughout.,"{""battery_life_hours"": 27}",2,2026-04-15 03:19:28.827776,2026-04-15 03:19:28.827784,181726270691,$635.70
2,Perform Smartwatch,electronics,Job west condition reason already. Face action her course by out determine source. Moment success rest kind increase.,"{""battery_life_hours"": 17}",2,2026-04-15 03:19:28.827788,2026-04-15 03:19:28.827791,2268284634016,"$7,462.44"
3,Same Smartwatch,electronics,Religious usually her. Yard area six above avoid. Task would network several situation. While popular what laugh.,"{""battery_life_hours"": null}",1,2026-04-15 03:19:28.827793,2026-04-15 03:19:28.827795,9098817198080,$617.52
4,Computer Smartwatch,electronics,Federal marriage pull key soon finish. While likely song although born.,"{""battery_life_hours"": 25}",1,2026-04-15 03:19:28.827798,2026-04-15 03:19:28.827800,8990549043250,$5.32
5,Play Smartwatch,electronics,Very rich role wall campaign. Never catch over beat answer federal. Force paper social manager fund when.,"{""battery_life_hours"": null}",1,2026-04-15 03:19:28.827802,2026-04-15 03:19:28.827804,7204159687591,$476.49
6,Stand Smartwatch,electronics,Your its city. Evidence read material management modern gun. Board provide resource.,"{""battery_life_hours"": 64}",2,2026-04-15 03:19:28.827806,2026-04-15 03:19:28.827808,9702695931454,$35.93
7,Move Smartwatch,electronics,Exist to information power. Consider matter word better vote eye. Song movie enter write room.,"{""battery_life_hours"": null}",1,2026-04-15 03:19:28.827811,2026-04-15 03:19:28.827813,5604326399128,$4.41
8,Start Smartwatch,electronics,Bed finish listen scientist campaign nothing material. Receive court on become. Likely well Democrat tree floor.,"{""battery_life_hours"": 22}",2,2026-04-15 03:19:28.827815,2026-04-15 03:19:28.827816,6132823966172,$947.58
9,Foot Smartwatch,electronics,By evidence structure. Third support reach treat building matter. Data rest particularly industry if owner.,"{""battery_life_hours"": 44}",2,2026-04-15 03:19:28.827819,2026-04-15 03:19:28.827820,3479869367383,$92.54
10,Note Smartwatch,electronics,Likely you about least rich shoulder marriage.,"{""battery_life_hours"": 20}",1,2026-04-15 03:19:28.827823,2026-04-15 03:19:28.827824,6605608157008,$635.94
11,While,grocery,Purpose quality learn each region modern bad space leave.,"{""is_gluten_free"": null, ""is_high_fiber"": null}",0,2026-04-15 03:19:28.827827,2026-04-15 03:19:28.827829,2158554355003,"$5,087.53"
12,Tonight,grocery,Able boy address heart town improve space employee.  Gluten-free and high in fiber.,"{""is_gluten_free"": true, ""is_high_fiber"": true}",3,2026-04-15 03:19:28.827831,2026-04-15 03:19:28.827833,6090024010608,"$6,098.34"
13,Positive,grocery,Process deep tree remain young two.  Gluten-free and high in fiber.,"{""is_gluten_free"": true, ""is_high_fiber"": true}",2,2026-04-15 03:19:28.827835,2026-04-15 03:19:28.827837,9351224876423,$59.66
14,Person,grocery,Address language pick continue cover all far Republican.  High in fiber.,"{""is_gluten_free"": null, ""is_high_fiber"": true}",1,2026-04-15 03:19:28.827839,2026-04-15 03:19:28.827841,2493953639683,"$21,529.76"
15,Great,grocery,Open compare home and attack money space.  Gluten-free.,"{""is_gluten_free"": true, ""is_high_fiber"": null}",1,2026-04-15 03:19:28.827843,2026-04-15 03:19:28.827845,9410451245294,$338.70
16,Stop,grocery,Chair nearly decade special care year yet yet grow certainly bad clearly bit.  Gluten-free and high in fiber.,"{""is_gluten_free"": true, ""is_high_fiber"": true}",3,2026-04-15 03:19:28.827847,2026-04-15 03:19:28.827849,3823149841177,"$86,652.27"
17,Environmental,grocery,Whether before chair wait idea age give mother describe receive source value remain.  Gluten-free.,"{""is_gluten_free"": true, ""is_high_fiber"": null}",2,2026-04-15 03:19:28.827851,2026-04-15 03:19:28.827853,6880149392846,$4.72
18,Church,grocery,Imagine lose be per hospital even glass baby modern hope hand.  Gluten-free and high in fiber.,"{""is_gluten_free"": true, ""is_high_fiber"": true}",3,2026-04-15 03:19:28.827855,2026-04-15 03:19:28.827857,1773767379212,$799.08
19,Record,grocery,A employee question action stand difference international affect goal economy new suggest reflect save.  Gluten-free and high in fiber.,"{""is_gluten_free"": true, ""is_high_fiber"": true}",3,2026-04-15 03:19:28.827859,2026-04-15 03:19:28.827861,7140797741847,$65.92
20,Score,grocery,Huge remain prevent technology bar practice operation matter their sell hundred also.  Gluten-free and high in fiber.,"{""is_gluten_free"": true, ""is_high_fiber"": true}",3,2026-04-15 03:19:28.827863,2026-04-15 03:19:28.827865,6902645232249,$54.65
21,Pattern,grocery,Industry weight unit attention company with stage work deal news beautiful whether avoid.,"{""is_gluten_free"": null, ""is_high_fiber"": null}",1,2026-04-15 03:19:28.827867,2026-04-15 03:19:28.827869,1471719446110,$42.71
22,State,grocery,About cup back away rule material.  Gluten-free and high in fiber.,"{""is_gluten_free"": true, ""is_high_fiber"": true}",2,2026-04-15 03:19:28.827871,2026-04-15 03:19:28.827873,3192020876790,"$9,556.29"
23,Everything,grocery,Government concern so father amount that carry perform we public us study economic.  Gluten-free and high in fiber.,"{""is_gluten_free"": true, ""is_high_fiber"": true}",3,2026-04-15 03:19:28.827875,2026-04-15 03:19:28.827877,9405793872574,$7.36
24,Analysis,grocery,Item shoulder argue speak executive power.  Gluten-free and high in fiber.,"{""is_gluten_free"": true, ""is_high_fiber"": true}",2,2026-04-15 03:19:28.827879,2026-04-15 03:19:28.827881,4046814087482,"$4,744.86"
25,Suffer,grocery,Me social find edge thousand total toward position.  Gluten-free and high in fiber.,"{""is_gluten_free"": true, ""is_high_fiber"": true}",3,2026-04-15 03:19:28.827883,2026-04-15 03:19:28.827885,7343493873922,$5.61
